,codegen-units,embed-bitcode,opt-level,force-frame-pointers,force-unwind-tables,linker-flavor,lto,no-vectorize-loops,no-vectorize-slp,overflow-checks,target-cpu,relocation-model,panic,compile-time-s,run-time-s,binary-size-mb,is_pareto,class
3,3,1,4,-1,0,-1,-1,0,-1,1,0,1,1,78.8384089099709,4.520242440979928,162,False,non-pareto
8,4,-1,5,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,75.87030533398502,4.33090706000803,168,True,pareto
9,-1,0,-1,1,1,0,-1,0,0,-1,0,1,0,41.537202326988336,26.249585345969535,158,False,non-pareto
15,0,1,1,0,1,0,-1,0,0,-1,0,1,0,77.70245769701432,14.142531317018438,120,False,non-pareto
19,-1,0,3,-1,0,0,-1,-1,-1,-1,-1,1,0,111.374265860999,4.471509038005024,217,False,non-pareto
22,4,0,2,1,1,0,-1,0,-1,-1,0,1,0,116.64340652001556,4.356401670025662,239,False,non-pareto
23,4,1,3,1,0,0,-1,0,-1,-1,0,1,-1,129.38273898296757,4.393370634992607,260,False,non-pareto
26,-1,-1,-1,1,1,0,-1,0,-1,-1,0,1,0,41.765566396992654,26.21241507999366,158,False,non-pareto
28,6,-1,-1,-1,1,0,-1,0,-1,-1,0,1,0,42.03620468999725,25.714207828976214,210,False,non-pareto
34,-1,1,-1,0,1,0,-1,-1,0,-1,0,1,0,39.05924694397254,28.610219838039484,158,False,non-pareto
36,1,0,-1,0,0,0,-1,0,-1,-1,0,1,0,41.114124507003,29.017260537017137,126,False,non-pareto
37,0,0,-1,0,0,0,-1,0,0,-1,0,1,0,44.732166277011856,28.183572482026648,120,False,non-pareto
38,-1,1,-1,-1,1,-1,-1,-1,-1,1,0,1,0,38.45694313198328,25.81921428698115,157,False,non-pareto
40,0,-1,-1,0,1,0,-1,-1,-1,-1,-1,1,0,43.24643424496753,28.137403058994096,120,False,non-pareto
41,0,-1,-1,-1,0,0,-1,-1,0,-1,0,1,0,43.37584614899242,25.79974211798981,120,True,pareto
42,-1,1,-1,-1,-1,-1,-1,0,-1,-1,0,1,0,38.731947869993746,25.768120392982382,158,False,non-pareto
43,4,-1,-1,1,0,-1,-1,-1,0,-1,0,1,0,41.190214331960306,25.25140761199873,205,False,non-pareto
44,1,0,-1,0,0,0,-1,-1,-1,-1,0,1,0,40.818599620019086,28.627003252971917,126,False,non-pareto
45,1,0,-1,0,0,-1,-1,-1,-1,-1,-1,1,0,41.359235410986,28.46742057200754,126,False,non-pareto
48,0,1,-1,0,-1,-1,-1,0,0,-1,-1,1,1,47.35617498902138,28.378923343028873,124,False,non-pareto
50,1,1,-1,1,1,-1,1,-1,-1,-1,0,1,0,39.963809654000215,25.8765010269708,126,True,pareto
56,0,0,-1,0,0,0,-1,-1,-1,1,0,1,1,49.09646840498317,29.314555474033114,123,False,non-pareto
57,1,1,-1,-1,-1,0,-1,0,-1,0,-1,1,1,41.90967998094857,26.42628113401588,130,False,non-pareto
59,-1,1,-1,0,-1,-1,-1,0,0,-1,0,1,0,38.65361247700639,28.376756822981406,158,False,non-pareto
61,6,0,-1,0,-1,-1,-1,0,-1,-1,0,1,-1,45.695298383012414,27.947495893982705,222,False,non-pareto
62,-1,0,-1,1,-1,-1,-1,0,0,0,0,1,0,39.66839763196185,26.08422896801494,158,False,non-pareto
63,3,-1,-1,1,0,-1,-1,0,0,0,0,1,1,40.016276546986774,26.15444617799949,165,False,non-pareto
68,4,0,-1,0,0,-1,-1,0,0,-1,0,1,0,43.19704288901994,28.27961219800636,205,False,non-pareto
70,4,0,-1,0,0,-1,-1,-1,0,-1,-1,1,0,43.000717796967365,27.407764725969173,205,False,non-pareto
72,3,1,-1,-1,0,-1,-1,0,-1,-1,0,1,0,38.57451686798595,25.775688887981232,161,False,non-pareto
74,2,0,1,-1,0,0,-1,0,0,-1,0,1,0,79.06854250200558,12.89035184495151,154,False,non-pareto
75,-1,0,-1,0,1,0,-1,-1,0,1,-1,1,0,39.82519942999352,27.911042555992026,157,False,non-pareto
76,2,1,-1,0,0,-1,-1,0,-1,-1,-1,1,-1,40.11074996198295,28.654857421002816,150,False,non-pareto
77,5,-1,0,1,-1,-1,-1,-1,0,-1,0,1,0,41.77449759398587,25.208038767974358,210,False,non-pareto
78,5,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,0,41.858553960046265,27.982221783022396,211,False,non-pareto
79,6,-1,-1,0,0,0,-1,-1,0,0,-1,1,0,41.953514011984225,28.074967213033233,218,False,non-pareto
80,2,0,-1,0,0,-1,-1,-1,0,1,-1,1,1,40.94443106796825,28.502657128032297,149,False,non-pareto
81,1,1,-1,0,0,-1,-1,-1,0,1,0,1,-1,41.9042082009837,28.698197945021093,129,False,non-pareto
82,1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,1,0,39.425667508970946,25.854493580001872,126,True,pareto
83,1,1,0,1,0,0,-1,-1,-1,-1,0,1,0,39.86751067900332,25.672487557982095,126,True,pareto
84,1,1,-1,0,-1,0,-1,-1,-1,0,0,1,-1,42.251493266026955,28.98900132102426,130,False,non-pareto
85,3,-1,-1,-1,1,-1,-1,-1,0,0,-1,1,0,38.339696199051104,25.174156000022776,157,True,pareto
86,4,1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,41.05396719498094,25.370107017981354,199,False,non-pareto
87,0,0,-1,-1,0,-1,-1,0,0,0,0,1,-1,48.79176267096773,26.47907344804844,124,False,non-pareto
88,-1,1,0,-1,-1,-1,-1,-1,0,-1,0,1,0,38.28690058301436,25.665377767989412,158,False,non-pareto
89,4,1,-1,0,-1,-1,-1,0,-1,0,-1,1,0,40.88243868795689,27.557821305992547,200,False,non-pareto
90,4,1,-1,-1,1,0,-1,-1,-1,1,-1,1,0,41.10924897500081,25.068183308991138,199,False,non-pareto
92,4,-1,-1,0,1,-1,-1,0,-1,0,0,1,0,41.48395324900048,28.146659781981725,200,False,non-pareto
93,-1,-1,0,-1,0,0,-1,0,0,1,0,1,0,38.68080719001591,25.7295375969843,160,False,non-pareto
95,2,-1,-1,0,1,-1,-1,-1,0,1,0,1,0,38.118934875994455,28.177434607001487,144,True,pareto
104,5,0,-1,0,1,-1,-1,-1,-1,-1,-1,1,0,43.31755261903163,28.10721210099291,211,False,non-pareto
110,0,0,0,-1,0,-1,-1,-1,0,0,-1,1,0,44.6712596550351,25.754250370024238,120,False,non-pareto
117,3,-1,0,1,1,-1,-1,-1,0,0,-1,1,0,38.71191306604305,25.189901655016,157,False,non-pareto
118,2,1,0,0,1,-1,-1,-1,-1,1,-1,1,0,37.956710761005525,28.385938292951323,144,True,pareto
120,5,0,0,1,0,0,-1,0,-1,0,-1,1,1,45.171192418958526,25.417663656000514,222,False,non-pareto
122,2,1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,38.3714486079989,25.73487112298608,144,True,pareto
124,6,1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,41.81482049799524,28.31004746601684,211,False,non-pareto
125,0,-1,0,1,1,0,-1,-1,0,1,0,1,0,42.63663457200164,25.967998642998282,119,True,pareto
126,6,1,0,0,1,-1,-1,-1,0,1,-1,1,0,41.29305809998186,27.652140691003297,210,False,non-pareto
129,1,1,0,0,-1,-1,-1,-1,-1,-1,0,-1,1,42.03847048897296,28.814885611995123,130,False,non-pareto
130,2,0,0,-1,-1,0,-1,-1,0,0,0,-1,1,41.163830786943436,26.089111645997036,150,False,non-pareto
131,2,1,0,1,1,-1,-1,-1,-1,1,0,1,0,37.785156814032234,25.18084425199777,144,True,pareto
134,3,-1,-1,1,1,0,-1,-1,0,1,0,1,0,38.11504937201971,25.742517593025696,157,False,non-pareto
135,6,-1,-1,1,-1,0,-1,0,0,1,-1,1,1,43.67440196801908,25.599212919012643,221,False,non-pareto
137,3,0,-1,-1,0,-1,-1,0,-1,0,-1,-1,0,39.44219054700807,25.273805294011254,161,False,non-pareto
138,3,-1,-1,-1,0,0,-1,0,-1,1,-1,1,0,38.435726368043106,24.99131212499924,160,True,pareto
139,2,0,0,0,0,0,-1,-1,0,-1,0,-1,0,39.05096818605671,28.42454992502462,146,False,non-pareto
140,3,-1,-1,0,0,0,-1,0,-1,0,-1,1,0,38.4302293509827,27.970075715973508,161,False,non-pareto
141,2,0,-1,0,-1,-1,-1,-1,0,0,0,-1,0,39.06186776596587,28.210170362028293,144,True,pareto
142,3,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,38.739524517033715,25.224089848052245,161,False,non-pareto
144,-1,-1,0,0,1,0,-1,-1,0,0,0,1,0,38.52872377401218,28.40443418198265,158,False,non-pareto
146,6,1,-1,1,1,0,-1,0,-1,0,0,-1,0,42.11522623198107,25.295142048969865,210,False,non-pareto
147,3,1,3,1,-1,0,-1,0,0,-1,0,-1,0,105.31166159501299,4.545337131014094,219,False,non-pareto
148,2,-1,2,0,-1,0,-1,-1,0,-1,0,-1,1,111.59653519897256,4.535477714031003,221,False,non-pareto
149,-1,1,1,0,1,-1,-1,-1,0,0,-1,-1,0,81.73298920900561,12.759460270986892,170,False,non-pareto
150,-1,-1,-1,0,1,0,-1,-1,0,-1,0,-1,0,39.05268891598098,28.254938925034367,158,False,non-pareto
151,0,1,0,0,0,0,-1,0,0,1,0,-1,0,43.0126290449989,28.7332170070149,120,False,non-pareto
152,1,-1,0,1,1,-1,-1,0,-1,1,0,-1,0,39.86388379102573,26.105375361978076,125,True,pareto
153,-1,0,0,1,1,0,-1,-1,-1,0,-1,-1,0,39.44281380000757,25.312316239986103,158,False,non-pareto
154,1,0,1,1,1,-1,-1,-1,-1,1,-1,-1,0,78.17535506200511,12.987064554996323,129,False,non-pareto
155,6,-1,0,1,1,0,-1,-1,-1,-1,-1,-1,0,41.48257830698276,25.14435458596563,210,False,non-pareto
157,1,-1,1,-1,-1,0,-1,0,-1,-1,-1,-1,1,82.48156207602005,13.202877899981104,132,False,non-pareto
158,-1,0,5,1,1,-1,-1,-1,0,0,0,-1,0,67.49801945599029,4.347559233021457,138,True,pareto
159,-1,0,-1,1,0,0,-1,0,-1,-1,0,-1,0,39.697024665016215,25.732506742002442,161,False,non-pareto
160,-1,-1,1,0,0,0,-1,0,-1,-1,0,-1,0,81.12672728596954,12.924877033976372,170,False,non-pareto
161,0,-1,5,-1,-1,0,-1,-1,0,-1,0,-1,1,75.00500080705388,4.341556138009764,104,True,pareto
162,-1,-1,5,1,1,-1,-1,-1,-1,0,-1,-1,0,68.3504781340016,4.458010367001407,139,False,non-pareto
163,-1,0,3,1,-1,0,-1,0,-1,0,0,-1,1,118.3714116489864,4.429420855012722,236,False,non-pareto
164,3,1,1,1,0,0,1,0,-1,-1,0,1,0,62.11304615996778,12.329356031026691,166,False,non-pareto
165,-1,0,-1,1,1,0,-1,0,-1,0,0,-1,0,39.55987202201504,25.71325375098968,158,False,non-pareto
166,6,0,-1,1,1,0,-1,-1,0,1,-1,-1,0,43.1056866729632,25.014395601989236,210,False,non-pareto
167,-1,0,-1,1,1,0,-1,0,-1,1,0,-1,0,40.03621136798756,26.8733080989914,157,False,non-pareto
168,3,1,0,0,1,0,-1,-1,-1,1,0,-1,0,38.99974174698582,27.78193995897891,157,False,non-pareto
169,4,0,2,-1,0,0,-1,-1,0,-1,0,-1,0,108.86569114698796,4.39918771199882,240,False,non-pareto
170,2,1,-1,-1,0,0,-1,-1,0,-1,0,-1,0,38.48740519298008,25.599274618027266,146,False,non-pareto
173,2,1,1,0,1,-1,-1,-1,-1,0,0,-1,0,77.32181345799472,13.097922959015705,156,False,non-pareto
174,-1,-1,-1,1,1,-1,-1,0,-1,1,0,-1,0,38.89544264605502,25.874388481955975,157,False,non-pareto
175,1,-1,1,-1,-1,0,-1,-1,-1,0,0,-1,1,82.60688391898293,12.942734653013758,133,False,non-pareto
178,-1,-1,4,1,1,-1,-1,-1,-1,1,-1,-1,0,72.66017643304076,4.4283586259698495,154,False,non-pareto
179,0,1,2,1,1,-1,-1,-1,0,1,0,-1,0,128.51392687595217,4.425157300953288,151,False,non-pareto
180,5,0,0,0,0,0,-1,0,0,-1,0,-1,0,44.103123849024996,28.105471796006896,218,False,non-pareto
181,-1,-1,3,0,-1,0,-1,0,0,-1,-1,-1,1,115.23646260600071,4.479472870007157,234,False,non-pareto
182,2,0,0,0,1,0,-1,-1,-1,1,0,-1,0,38.98043835000135,27.764803003985435,144,True,pareto
186,4,0,-1,1,0,-1,-1,-1,0,0,-1,1,1,44.56198159599444,25.735741232987493,208,False,non-pareto
188,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,-1,-1,40.68238137901062,26.04954825900495,165,False,non-pareto
192,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,49.091286384966224,27.97111350297928,124,False,non-pareto
193,3,0,-1,1,-1,-1,-1,0,-1,0,0,1,1,41.457839694980066,25.869507591996808,165,False,non-pareto
195,1,-1,-1,-1,-1,0,-1,-1,0,-1,0,1,1,41.83684495399939,26.648490875959396,130,False,non-pareto
196,0,1,0,0,0,0,-1,-1,0,1,-1,-1,-1,47.15931244799867,28.754711511021014,123,False,non-pareto
197,3,1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,40.101850377977826,26.110274054983165,165,False,non-pareto
199,0,-1,-1,1,0,-1,-1,-1,0,-1,0,1,1,46.583595750969835,26.473781057982706,124,False,non-pareto
202,-1,-1,0,0,-1,0,-1,0,0,-1,-1,-1,-1,40.579621624958236,28.473270424001385,165,False,non-pareto
204,0,1,-1,0,-1,-1,1,-1,0,-1,-1,-1,1,47.16799779998837,28.494954307971057,124,False,non-pareto
207,4,-1,-1,-1,0,-1,-1,-1,-1,0,0,1,1,42.72125733701978,25.480623651994392,208,False,non-pareto
208,1,0,-1,-1,-1,-1,-1,-1,0,1,0,1,1,44.05762938398402,26.6999491880415,130,False,non-pareto
209,4,-1,-1,-1,0,-1,-1,-1,-1,0,0,1,1,44.065938081999775,25.61351331701735,208,False,non-pareto
214,3,1,0,0,0,0,-1,-1,0,1,0,-1,-1,40.39495815197006,28.74745336797787,164,False,non-pareto
217,4,1,-1,-1,0,0,-1,-1,-1,0,-1,1,1,42.76351662003435,26.02213130099699,208,False,non-pareto
219,-1,-1,0,-1,0,0,-1,-1,0,-1,0,1,1,40.656654497026466,26.087037792021874,165,False,non-pareto
221,6,-1,-1,1,0,-1,-1,-1,-1,0,0,1,1,43.58328103099484,25.80472075502621,222,False,non-pareto
222,-1,-1,4,-1,0,-1,-1,-1,0,1,-1,-1,-1,77.99700049497187,4.351740462007001,162,False,non-pareto
223,3,1,-1,1,0,-1,-1,-1,0,0,-1,1,1,40.457757791969925,25.964072278991807,165,False,non-pareto
224,5,0,0,1,0,-1,-1,-1,0,0,0,1,1,45.542796152993105,25.76843033102341,222,False,non-pareto
225,5,-1,-1,-1,0,-1,-1,-1,0,1,-1,1,1,43.85971014900133,25.727005188004114,221,False,non-pareto
226,3,0,0,1,0,-1,-1,-1,0,1,0,1,1,41.987179821997415,25.885481567995157,164,False,non-pareto
228,1,-1,-1,1,0,0,-1,-1,0,1,0,1,1,41.77032601699466,26.82914912502747,130,False,non-pareto
229,-1,0,0,0,1,-1,-1,0,-1,-1,0,-1,0,39.675065954972524,28.15361949300859,158,False,non-pareto
230,6,1,5,-1,-1,0,-1,0,0,-1,0,-1,-1,74.61853204894578,4.354426642006729,168,False,non-pareto
231,4,1,-1,-1,0,0,-1,-1,0,1,-1,-1,1,42.69811763399048,25.413887590984814,208,False,non-pareto
232,6,-1,0,1,1,0,-1,-1,-1,-1,-1,-1,0,42.16079810599331,25.101999301987235,210,False,non-pareto
233,2,1,0,-1,-1,0,-1,0,0,0,0,-1,1,39.89724059798755,25.88772912096465,150,False,non-pareto
234,4,0,-1,0,1,0,-1,-1,-1,-1,-1,-1,0,43.12050721299602,27.563053840014618,200,False,non-pareto
235,4,1,0,0,-1,-1,-1,-1,-1,1,-1,-1,1,43.07694310398074,27.901869927998632,207,False,non-pareto
236,0,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,0,42.940996332035866,25.666789781011175,120,True,pareto
238,-1,-1,-1,0,1,-1,-1,0,-1,-1,-1,-1,0,38.79061240697047,27.96232405601768,158,False,non-pareto
239,-1,1,2,-1,-1,0,-1,-1,-1,-1,0,-1,-1,115.68733010900905,4.555877270002384,238,False,non-pareto
241,4,1,1,-1,-1,0,-1,-1,-1,0,0,-1,-1,91.449644798995,12.064628819993231,202,False,non-pareto
242,1,1,0,1,1,-1,-1,0,0,-1,0,-1,0,39.26348900701851,25.673850990016945,126,True,pareto
243,2,1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,39.88229407800827,28.91144501400413,150,False,non-pareto
244,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46.992861984996125,26.678933744027745,124,False,non-pareto
245,-1,-1,-1,1,1,0,-1,0,-1,-1,0,-1,0,38.3610450149863,25.803212755999994,158,False,non-pareto
247,1,-1,0,1,1,0,-1,0,0,-1,-1,-1,0,39.321012956963386,25.866137345030438,126,True,pareto
249,0,0,0,-1,1,0,-1,-1,0,-1,-1,-1,0,44.05347892997088,25.91400851297658,120,False,non-pareto
251,0,1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,47.13908813201124,28.7053020009771,124,False,non-pareto
252,0,1,2,1,0,0,-1,0,-1,-1,-1,-1,-1,126.30597492400557,4.396118224947713,155,False,non-pareto
253,4,1,-1,-1,-1,0,-1,-1,0,0,-1,-1,1,42.832164478022605,26.084317120024934,208,False,non-pareto
254,3,0,-1,0,1,-1,-1,0,0,-1,-1,-1,0,39.64334329799749,27.93728687200928,158,False,non-pareto
255,-1,1,-1,0,1,-1,-1,0,0,-1,-1,-1,0,38.78029332699953,27.909791056998074,158,False,non-pareto
256,0,-1,0,-1,1,0,-1,0,-1,-1,-1,-1,0,42.68037317501148,25.914791902992874,120,True,pareto
257,-1,1,1,1,-1,0,-1,0,-1,-1,0,-1,-1,85.36550767102744,12.260127210989594,174,False,non-pareto
258,0,0,2,1,0,-1,-1,0,-1,-1,0,-1,-1,128.24384955200367,4.53857265599072,156,False,non-pareto
259,6,0,0,1,1,0,-1,-1,0,-1,-1,-1,0,43.17410257196752,25.16349803796038,210,False,non-pareto
260,5,1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,1,43.644225059018936,25.591857694962528,221,False,non-pareto
263,5,-1,0,1,1,-1,-1,-1,0,-1,0,-1,0,41.795228217029944,25.37281911500031,210,False,non-pareto
265,2,-1,0,1,1,0,-1,-1,0,-1,-1,-1,0,38.15286248701159,25.3908699080348,144,True,pareto
266,5,0,1,1,-1,-1,-1,-1,0,0,0,-1,0,87.2065211419831,12.17677239299519,198,False,non-pareto
267,-1,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,39.59181462501874,25.521193378022872,158,False,non-pareto
268,4,1,0,1,1,-1,-1,0,-1,-1,-1,-1,0,40.88496614899486,25.304322579992004,199,False,non-pareto
269,4,0,0,0,1,0,-1,0,-1,-1,-1,-1,0,42.82751759199891,27.472293272963725,200,False,non-pareto
270,-1,-1,0,1,1,0,-1,0,-1,-1,-1,-1,0,38.474825810000766,25.275749885011464,158,False,non-pareto
272,6,1,0,0,1,-1,-1,0,-1,-1,-1,-1,0,41.86002260202076,27.805147406994365,211,False,non-pareto
274,3,-1,-1,-1,0,-1,-1,0,-1,-1,-1,1,1,40.51911305898102,26.020102429029066,165,False,non-pareto
275,6,1,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,122.10160697303945,4.508241469971836,258,False,non-pareto
277,1,1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,41.826061584986746,26.492471830977593,130,False,non-pareto
278,3,1,-1,0,-1,0,-1,-1,0,1,0,-1,1,41.13365994597552,28.57066113402834,164,False,non-pareto
279,1,1,0,1,1,-1,-1,0,0,-1,0,-1,0,39.829565463995095,25.75810029997956,126,True,pareto
281,2,-1,0,-1,0,0,-1,0,-1,-1,-1,1,1,39.725513070006855,25.881279530993197,150,False,non-pareto
282,4,0,0,1,1,0,-1,0,0,-1,-1,-1,0,42.4656074080267,25.28277592197992,199,False,non-pareto
283,0,1,0,1,-1,-1,-1,0,0,-1,0,-1,-1,46.90558146702824,26.56787254504161,124,False,non-pareto
285,0,1,-1,1,-1,0,-1,0,-1,1,-1,-1,-1,46.63343618897488,25.986808988032863,123,False,non-pareto
286,6,-1,-1,0,0,-1,-1,-1,0,-1,0,1,1,43.96663732704474,28.160014616965782,222,False,non-pareto
287,1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1,-1,41.78654597897548,26.47613615600858,130,False,non-pareto
288,0,1,-1,-1,-1,0,-1,-1,-1,1,0,1,-1,46.85663787799422,25.979292768985033,123,False,non-pareto
289,1,-1,0,1,0,0,-1,-1,-1,1,-1,1,-1,41.82637927797623,26.43670428096084,130,False,non-pareto
290,6,-1,-1,0,-1,0,-1,-1,0,0,-1,1,-1,44.10246228601318,28.35212604398839,222,False,non-pareto
291,4,1,-1,-1,0,-1,-1,-1,0,0,-1,1,-1,42.94086282799253,26.1400672790478,208,False,non-pareto
292,1,-1,-1,-1,0,0,-1,0,-1,0,-1,1,-1,41.73572409397457,26.23679658101173,130,False,non-pareto
293,1,1,-1,-1,0,-1,-1,0,0,0,-1,1,-1,41.64940764696803,26.042371623043437,130,False,non-pareto
294,1,0,-1,1,-1,0,-1,-1,0,1,0,1,-1,43.357184115971904,26.587953778041992,130,False,non-pareto
295,6,0,0,-1,-1,0,-1,-1,0,0,-1,1,-1,45.25562124996213,25.578454874979798,222,False,non-pareto
296,2,1,0,-1,-1,0,-1,-1,-1,0,0,1,-1,39.74590575898765,25.819526962004602,150,False,non-pareto
297,4,-1,-1,1,0,0,-1,-1,0,1,0,1,-1,43.00417045404902,25.807752205990255,208,False,non-pareto
298,6,1,-1,-1,0,0,-1,-1,0,0,-1,1,-1,43.3449625299545,25.503317726019304,222,False,non-pareto
299,1,0,0,1,-1,0,-1,-1,-1,1,-1,1,-1,43.61612858000444,26.69712588103721,130,False,non-pareto
300,-1,1,-1,0,-1,-1,-1,0,0,0,-1,1,-1,40.15004117699573,28.20647449203534,165,False,non-pareto
301,3,0,0,1,0,0,-1,0,-1,-1,-1,1,-1,41.90903475903906,25.9608671439928,165,False,non-pareto
302,-1,-1,-1,-1,0,0,-1,0,-1,1,0,1,-1,40.40802071004873,26.07088932499755,164,False,non-pareto
303,-1,0,0,1,-1,0,-1,0,0,1,-1,1,-1,41.49697473202832,25.52178836998064,164,False,non-pareto
304,0,-1,-1,0,0,0,-1,-1,-1,1,-1,1,-1,46.84608411398949,28.826657019963022,123,False,non-pareto
305,2,0,-1,1,0,0,-1,0,-1,1,-1,1,-1,40.50820610701339,26.305753668013494,149,False,non-pareto
306,5,-1,0,1,-1,0,-1,0,0,0,-1,1,-1,43.55026789999101,25.640866394969635,222,False,non-pareto
307,1,-1,0,0,0,-1,-1,0,0,-1,0,1,-1,42.13068842800567,28.93517678702483,130,False,non-pareto
308,-1,0,0,1,0,0,-1,0,-1,-1,-1,1,-1,41.40852843201719,25.886529838026036,165,False,non-pareto
309,1,0,-1,-1,-1,0,-1,0,-1,-1,-1,1,-1,43.7307284050039,26.16706588800298,130,False,non-pareto
310,4,0,-1,1,0,0,-1,0,0,1,-1,1,-1,44.28419692697935,25.33549407502869,208,False,non-pareto
311,2,-1,0,1,0,0,-1,0,-1,-1,-1,1,-1,39.338872016000096,26.080714153998997,150,False,non-pareto
312,5,1,0,0,-1,-1,-1,0,0,0,-1,1,-1,44.02258462400641,28.172883444000036,222,False,non-pareto
313,-1,0,5,1,1,-1,-1,-1,0,1,-1,1,0,67.7492824550136,4.4967213129857555,138,True,pareto
314,3,-1,0,-1,0,-1,-1,-1,0,0,-1,1,-1,40.80465822701808,26.25906282401411,165,False,non-pareto
315,2,1,0,1,-1,0,-1,-1,-1,1,-1,1,-1,39.391806308995,26.13717458298197,149,False,non-pareto
316,6,1,0,1,-1,0,-1,0,-1,1,0,1,-1,43.46242569905007,25.82651695900131,221,False,non-pareto
317,2,1,0,0,0,0,-1,-1,0,-1,-1,1,-1,39.650059488019906,28.5312905649771,150,False,non-pareto
318,5,-1,0,1,-1,0,-1,0,0,0,0,1,-1,43.485211537976284,25.82543943001656,222,False,non-pareto
319,4,-1,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,42.70406296197325,27.955342297966126,208,False,non-pareto
320,-1,-1,0,1,-1,0,-1,0,-1,-1,-1,1,-1,39.96817428199574,26.148874528007582,165,False,non-pareto
321,-1,1,-1,1,-1,0,-1,0,0,-1,-1,1,-1,39.793387461977545,25.953059491992462,165,False,non-pareto
322,2,0,-1,-1,-1,0,-1,0,-1,0,-1,1,-1,40.91711784899235,26.273565271985717,150,False,non-pareto
323,1,1,-1,1,0,0,-1,0,-1,0,0,1,-1,41.92498159100069,26.285955086001195,130,False,non-pareto
324,-1,1,0,1,-1,0,-1,-1,-1,-1,-1,1,-1,40.09700982400682,25.70774172700476,165,False,non-pareto
325,6,1,-1,1,0,0,-1,0,0,0,-1,1,-1,43.71011455898406,25.498443478019908,222,False,non-pareto
326,6,0,0,-1,-1,0,-1,0,-1,0,-1,1,-1,44.9054692289792,25.590988155978266,222,False,non-pareto
327,-1,1,0,1,-1,0,-1,-1,0,0,-1,1,-1,40.09906348603545,26.02410769701237,165,False,non-pareto
328,6,0,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,45.26787552499445,25.552219546982087,222,False,non-pareto
329,1,0,0,-1,0,0,-1,-1,-1,-1,-1,1,-1,43.334774793998804,26.221786402980797,130,False,non-pareto
331,3,-1,-1,1,-1,0,-1,0,0,1,-1,1,-1,40.263342150021344,25.5776826729998,164,False,non-pareto
332,1,-1,0,1,-1,0,-1,-1,-1,-1,0,1,-1,41.86269590398297,26.75142408697866,130,False,non-pareto
333,-1,-1,0,0,0,0,-1,-1,-1,1,-1,1,-1,40.59844760602573,28.497811821987852,164,False,non-pareto
334,-1,1,0,-1,-1,0,-1,0,0,-1,-1,1,-1,40.380269339017104,26.064584576990455,165,False,non-pareto
335,3,-1,-1,-1,0,0,-1,0,0,0,-1,1,-1,40.29694977001054,26.24095926003065,165,False,non-pareto
